"index","signatures","pagenum","category","description"
"1","endpaper","","flyleaf","☞ The brown leather bookplate pasted to this endpaper is Benlowes' coat of arms, probably cut from an earlier binding. The three other bookplates document later owners: Chandos Leigh, 1st Baron Leigh (1791-1850); Beverly Chew (1850-1924), President of the Grolier Club; and the American composer Jerome Kern (1885-1945), who wrote “Ol' Man River” and “Smoke Gets in Your Eyes,” among other popular classics."
"2","endpaper","","flyleaf",""
"3","flyleaf","","flyleaf","☞ Note the small typed text in the top left corner of the page: “BOUND BY C. MURTON.” Charles Murton was a bookbinder working in London in the first decades of the nineteenth century; most likely he rebound this book for Baron Leigh or shortly before Leigh bought it. Other pencil markings on this page show later owners counting the number of plates against the Grolier Club catalogue — evidence of the nineteenth-century collectors' desire for what they deemed complete and perfect copies."
"4","flyleaf","","flyleaf",""
"5","flyleaf","","flyleaf",""
"6","χr","","original print","☞ If you click the page to zoom in, you'll see that this plate has been pasted to a paper frame to support it."
"7","χv","","original print",""
"8","πr","","title page","☞ Characteristically, Benlowes does not use his full name on the title page but “E. B.,” characteristically styling himself as divine poesie's humble servant. His initials are as large as the name of John Jenkins, the popular domestic composer who, the title page suggests, set some parts of the poem to song, or “fit Aires.” The “R. N.” named below as the printer is Roger Norton, of a prominent family of stationers; for more on his contributions, see the tour stop on page 24."
"9","πv","","title page",""
"10","A1r","","preliminary",""
"11","A1v","","preliminary",""
"12","χr","","recycled image",""
"13","χv","","recycled image",""
"14","A2r","","preliminary",""
"15","A2v","","preliminary",""
"16","¶1r","","preliminary",""
"17","¶1v","","preliminary",""
"18","¶2r","","preliminary",""
"19","¶2v","","preliminary",""
"20","¶¶1r","","preliminary",""
"21","¶¶1v","","preliminary",""
"22","¶¶2r","","preliminary",""
"23","¶¶2v","","preliminary",""
"24","¶¶¶1r","","preliminary",""
"25","¶¶¶1v","","preliminary",""
"26","¶¶¶2r","","preliminary",""
"27","¶¶¶2v","","preliminary",""
"28","B1r","","preliminary",""
"29","B1v","","preliminary",""
"30","B2r","","preliminary",""
"31","B2v","","preliminary",""
"32","B3r","","preliminary",""
"33","B3v","","preliminary",""
"34","B4r","","preliminary",""
"35","B4v","","preliminary","☞ The author of this commendatory poem is Jeremy Collier the elder, father of the younger  Collier who famously wrote an attack on English drama in 1698. Collier must have read drafts of Theophila, as his work appears as a response to Benlowes' several times in this book. For instance, he translated Canto VII into Latin (see page 254), provided verses for a plate (see the tour stop next to page 235), and here writes commendatory verse responding to the poem printed on the pages prior. Collier's involvement in Benlowes' work points to its social life in manuscript."
"36","B5r","","preliminary",""
"37","B5v","","preliminary","☞ The author of this commendatory poem is the colorful Walter Montagu (1603-1677), an English diplomat and secret agent working in the service of Queen Henrietta Maria. Montagu — who converted to Catholicism after witnessing exorcisms in a famous witchraft trial in Loudun, France — was hiding abroad by the time Theophila was published in 1652. Eventually, he would become abbot of a Benedictine monastery. The inclusion of his commendatory verse here, in a book written by the former- and now virulently anti-Catholic Benlowes, should serve as a cautionary tale against categorizing early modern religious verse by religious belief or denomination."
"38","(c)1r","","preliminary","☞ The author of this commendatory poem is Sir William Denny, a Royalist and an almost exact contemporary of Benlowes. The year after Theophila came out, Denny's own lengthy treatise on how to life a good life and why not to commit suicide appeared in print. This poem and the next by William Davenant have non-continuous signatures and are placed differently within the preliminaries in other copies, suggesting they were late additions to the text."
"39","(c)1v","","preliminary",""
"40","(c)2r","","preliminary",""
"41","(c)2v","","preliminary",""
"42","(d)1r","","preliminary",""
